algo,n,trial,timeNs,comparisons,swaps,allocations,maxDepth
MergeSort,1000,0,238700,9460,0,1,7
MergeSort,1000,1,96500,9534,0,1,7
MergeSort,1000,2,80100,9538,0,1,7
MergeSort,1000,3,99200,9559,0,1,7
MergeSort,1000,4,110700,9390,0,1,7
QuickSort,1000,0,107700,10191,4102,0,5
QuickSort,1000,1,87800,11202,4043,0,5
QuickSort,1000,2,88900,11026,4460,0,5
QuickSort,1000,3,79000,10936,4659,0,6
QuickSort,1000,4,76000,10880,4526,0,5
DeterministicSelect,1000,0,175600,1830,1477,0,10
DeterministicSelect,1000,1,183300,2004,1578,0,10
DeterministicSelect,1000,2,191500,2012,1525,0,10
DeterministicSelect,1000,3,204600,2204,1722,0,11
DeterministicSelect,1000,4,185700,1995,1538,0,9
ClosestPair2D,1000,0,693000,10080,0,0,9
ClosestPair2D,1000,1,635500,10131,0,0,9
ClosestPair2D,1000,2,643900,10348,0,0,9
ClosestPair2D,1000,3,597000,10179,0,0,9
ClosestPair2D,1000,4,631000,10310,0,0,9
MergeSort,2000,0,223000,21012,0,1,8
MergeSort,2000,1,281100,21058,0,1,8
MergeSort,2000,2,202200,21093,0,1,8
MergeSort,2000,3,179100,21363,0,1,8
MergeSort,2000,4,237400,21094,0,1,8
QuickSort,2000,0,278000,26583,11107,0,5
QuickSort,2000,1,266300,24295,10539,0,6
QuickSort,2000,2,268400,27529,12396,0,5
QuickSort,2000,3,214600,26198,11833,0,6
QuickSort,2000,4,166700,24165,9618,0,6
DeterministicSelect,2000,0,335800,4153,3107,0,11
DeterministicSelect,2000,1,379800,4132,3103,0,12
DeterministicSelect,2000,2,333800,4004,2899,0,12
DeterministicSelect,2000,3,343500,3898,2992,0,11
DeterministicSelect,2000,4,285700,4078,3151,0,7
ClosestPair2D,2000,0,1133600,24847,0,0,10
ClosestPair2D,2000,1,1348500,25138,0,0,10
ClosestPair2D,2000,2,1630100,24859,0,0,10
ClosestPair2D,2000,3,1735800,24997,0,0,10
ClosestPair2D,2000,4,1731100,25456,0,0,10
MergeSort,4000,0,474000,46086,0,1,9
MergeSort,4000,1,480700,46175,0,1,9
MergeSort,4000,2,448300,46353,0,1,9
MergeSort,4000,3,425200,46342,0,1,9
MergeSort,4000,4,579000,46044,0,1,9
QuickSort,4000,0,706800,53950,24944,0,7
QuickSort,4000,1,493200,59695,30124,0,7
QuickSort,4000,2,467900,52674,22821,0,7
QuickSort,4000,3,612600,53532,19647,0,7
QuickSort,4000,4,626500,54399,21454,0,7
DeterministicSelect,4000,0,186900,7904,5783,0,12
DeterministicSelect,4000,1,138700,8405,6334,0,12
DeterministicSelect,4000,2,124500,8179,6140,0,9
DeterministicSelect,4000,3,171100,7528,5908,0,9
DeterministicSelect,4000,4,118600,7849,5962,0,9
ClosestPair2D,4000,0,8007200,57075,0,0,11
ClosestPair2D,4000,1,6454400,56267,0,0,11
ClosestPair2D,4000,2,5910600,59793,0,0,11
ClosestPair2D,4000,3,6221000,59448,0,0,11
ClosestPair2D,4000,4,6472400,58898,0,0,11
MergeSort,8000,0,550900,100655,0,1,10
MergeSort,8000,1,761000,100359,0,1,10
MergeSort,8000,2,534500,100819,0,1,10
MergeSort,8000,3,544500,100532,0,1,10
MergeSort,8000,4,546700,100540,0,1,10
QuickSort,8000,0,343400,125036,59773,0,7
QuickSort,8000,1,368100,115476,49209,0,6
QuickSort,8000,2,340900,122222,49207,0,7
QuickSort,8000,3,345500,111945,48699,0,7
QuickSort,8000,4,422100,127590,64138,0,7
DeterministicSelect,8000,0,380300,15496,11342,0,11
DeterministicSelect,8000,1,427700,16025,11938,0,9
DeterministicSelect,8000,2,468600,16829,12401,0,11
DeterministicSelect,8000,3,427600,15422,11340,0,12
DeterministicSelect,8000,4,306000,15952,12013,0,13
ClosestPair2D,8000,0,14561900,129904,0,0,12
ClosestPair2D,8000,1,15721400,133630,0,0,12
ClosestPair2D,8000,2,15226100,134537,0,0,12
ClosestPair2D,8000,3,15887300,133613,0,0,12
ClosestPair2D,8000,4,16193800,131846,0,0,12
MergeSort,16000,0,1351600,216916,0,1,11
MergeSort,16000,1,1102900,216538,0,1,11
MergeSort,16000,2,4018200,216577,0,1,11
MergeSort,16000,3,1127800,216539,0,1,11
MergeSort,16000,4,1109300,215749,0,1,11
QuickSort,16000,0,758500,247971,114459,0,8
QuickSort,16000,1,939900,259442,113619,0,7
QuickSort,16000,2,1294300,275196,135724,0,8
QuickSort,16000,3,827400,263033,123837,0,8
QuickSort,16000,4,887100,272007,120229,0,8
DeterministicSelect,16000,0,455200,30640,23171,0,13
DeterministicSelect,16000,1,447700,31335,24070,0,11
DeterministicSelect,16000,2,442100,31287,22932,0,12
DeterministicSelect,16000,3,462700,32312,24160,0,14
DeterministicSelect,16000,4,454900,30885,23740,0,13
ClosestPair2D,16000,0,12346400,297257,0,0,13
ClosestPair2D,16000,1,11517400,300295,0,0,13
ClosestPair2D,16000,2,12886500,300633,0,0,13
ClosestPair2D,16000,3,11011800,298576,0,0,13
ClosestPair2D,16000,4,10892500,303139,0,0,13
